model,feature_set,repeat,fold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mcc
kNN,combined,4,1,0.8333333333333334,0.5555555555555555,0.6,0.5555555555555555,0.562962962962963,0.6425396041156863
DT,combined,4,1,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
RF,combined,4,1,0.9166666666666666,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9137254901960784,0.8317883872610065
SVM,combined,4,1,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531
AB,combined,4,1,0.8333333333333334,0.7777777777777777,0.9333333333333332,0.7777777777777777,0.7962962962962963,0.6639400022069858
GBT,combined,4,1,0.8333333333333334,0.7777777777777777,0.9333333333333332,0.7777777777777777,0.7962962962962963,0.6639400022069858
LR,combined,4,2,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
NB,combined,4,2,1.0,1.0,1.0,1.0,1.0,1.0
kNN,combined,4,2,1.0,1.0,1.0,1.0,1.0,1.0
DT,combined,4,2,1.0,1.0,1.0,1.0,1.0,1.0
RF,combined,4,2,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,4,2,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
AB,combined,4,2,1.0,1.0,1.0,1.0,1.0,1.0
GBT,combined,4,2,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,4,3,0.8333333333333334,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8777777777777778,0.7502344849205329
NB,combined,4,3,0.8333333333333334,0.6190476190476191,0.5523809523809523,0.6190476190476191,0.582010582010582,0.6901982514999776
kNN,combined,4,3,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631
DT,combined,4,3,0.8333333333333334,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8777777777777778,0.7502344849205329
RF,combined,4,3,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,4,3,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129
AB,combined,4,3,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129
GBT,combined,4,3,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129
LR,combined,4,4,0.8333333333333334,0.9047619047619048,0.7666666666666666,0.9047619047619048,0.7962962962962963,0.7519206177414045
NB,combined,4,4,0.8333333333333334,0.6190476190476191,0.5523809523809523,0.6190476190476191,0.582010582010582,0.6901982514999776
kNN,combined,4,4,0.6666666666666666,0.4523809523809524,0.5555555555555555,0.4523809523809524,0.47222222222222215,0.35682062007003157
DT,combined,4,4,0.75,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8181818181818182,0.6538461538461539
