model,feature_set,repeat,fold,inner_best_balanced_accuracy,best_params
AB,combined,2,2,0.9888888888888889,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 25}"
GBT,combined,2,2,0.9444444444444445,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 50}"
LR,combined,2,3,0.8888888888888888,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,2,3,0.6499999999999999,"{""model__var_smoothing"": 1e-11}"
kNN,combined,2,3,0.6666666666666666,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,2,3,0.8333333333333334,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,2,3,0.8888888888888888,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}"
SVM,combined,2,3,0.8222222222222223,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,2,3,0.7333333333333334,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 25}"
GBT,combined,2,3,0.7722222222222223,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,2,4,0.85,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,2,4,0.6722222222222222,"{""model__var_smoothing"": 1e-07}"
kNN,combined,2,4,0.7833333333333333,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,2,4,0.8777777777777778,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,2,4,0.9444444444444443,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,2,4,0.9388888888888888,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,2,4,0.8888888888888888,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 100}"
GBT,combined,2,4,0.9333333333333332,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,3,0,0.8277777777777776,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}"
NB,combined,3,0,0.6222222222222222,"{""model__var_smoothing"": 1e-11}"
kNN,combined,3,0,0.7166666666666667,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,3,0,0.9055555555555556,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,3,0,0.9055555555555556,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 2}"
SVM,combined,3,0,0.8055555555555555,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,3,0,0.9166666666666666,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 25}"
GBT,combined,3,0,0.8611111111111112,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,3,1,0.9444444444444445,"{""model__C"": 10.0, ""model__class_weight"": null}"
NB,combined,3,1,0.7777777777777778,"{""model__var_smoothing"": 1e-11}"
kNN,combined,3,1,0.8944444444444444,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,3,1,0.9777777777777777,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 2}"
RF,combined,3,1,0.9777777777777777,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,3,1,0.9876543209876543,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,3,1,0.9222222222222222,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,3,1,0.9444444444444445,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,3,2,0.8765432098765432,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,3,2,0.8222222222222221,"{""model__var_smoothing"": 1e-11}"
kNN,combined,3,2,0.8222222222222223,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,3,2,0.8444444444444444,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,3,2,0.9333333333333332,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}"
SVM,combined,3,2,0.9432098765432099,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,3,2,0.8777777777777778,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 100}"
GBT,combined,3,2,0.9222222222222222,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,3,3,0.9388888888888888,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,3,3,0.7833333333333333,"{""model__var_smoothing"": 1e-07}"
kNN,combined,3,3,0.7999999999999999,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,3,3,0.8777777777777778,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,3,3,0.8944444444444445,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,3,3,0.938888888888889,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,3,3,0.9333333333333332,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 25}"
