repeat,fold,training_fraction,training_records,low_training_records,medium_training_records,high_training_records,train_balanced_accuracy,validation_balanced_accuracy,train_macro_f1,validation_macro_f1
7,4,1.0,48,5,30,13,0.9743589743589745,1.0,0.9812021857923497,1.0
8,0,0.4,19,2,12,5,1.0,0.8888888888888888,1.0,0.9111111111111111
8,0,0.55,26,2,16,8,1.0,0.7777777777777777,1.0,0.7916666666666666
8,0,0.7,33,3,21,9,1.0,0.8888888888888888,1.0,0.9111111111111111
8,0,0.85,40,3,25,12,1.0,0.8888888888888888,1.0,0.9111111111111111
8,0,1.0,48,4,30,14,1.0,0.8888888888888888,1.0,0.9111111111111111
8,1,0.4,19,2,11,6,1.0,0.47222222222222215,1.0,0.44047619047619047
8,1,0.55,26,3,16,7,1.0,0.6666666666666666,1.0,0.6470588235294118
8,1,0.7,33,3,20,10,1.0,0.8472222222222222,1.0,0.8472222222222222
8,1,0.85,40,4,24,12,0.9722222222222222,1.0,0.9787045252883763,1.0
8,1,1.0,48,5,29,14,0.9761904761904763,1.0,0.98200460347353,1.0
8,2,0.4,19,2,11,6,1.0,0.5833333333333334,1.0,0.5166666666666667
8,2,0.55,26,3,16,7,1.0,0.9583333333333334,1.0,0.9301587301587301
8,2,0.7,33,3,20,10,1.0,1.0,1.0,1.0
8,2,0.85,40,4,24,12,1.0,1.0,1.0,1.0
8,2,1.0,48,5,29,14,0.9761904761904763,1.0,0.98200460347353,1.0
8,3,0.4,19,2,12,5,1.0,1.0,1.0,1.0
8,3,0.55,26,3,16,7,1.0,1.0,1.0,1.0
8,3,0.7,33,3,21,9,1.0,0.8333333333333334,1.0,0.8472222222222222
8,3,0.85,40,4,25,11,0.9696969696969697,1.0,0.9775910364145658,1.0
8,3,1.0,48,5,30,13,0.9743589743589745,1.0,0.9812021857923497,1.0
8,4,0.4,19,2,12,5,1.0,1.0,1.0,1.0
8,4,0.55,26,3,16,7,1.0,1.0,1.0,1.0
8,4,0.7,33,3,21,9,1.0,0.9166666666666666,1.0,0.9301587301587301
8,4,0.85,40,4,25,11,0.9696969696969697,1.0,0.9775910364145658,1.0
8,4,1.0,48,5,30,13,0.9743589743589745,1.0,0.9812021857923497,1.0
9,0,0.4,19,2,12,5,1.0,0.7301587301587301,1.0,0.7333333333333334
9,0,0.55,26,2,16,8,1.0,0.6190476190476191,1.0,0.5523809523809523
9,0,0.7,33,3,21,9,1.0,0.6984126984126983,1.0,0.6632996632996633
9,0,0.85,40,3,25,12,1.0,1.0,1.0,1.0
9,0,1.0,48,4,30,14,1.0,0.9523809523809524,1.0,0.9267399267399267
9,1,0.4,19,2,11,6,1.0,0.6666666666666666,1.0,0.6470588235294118
9,1,0.55,26,3,16,7,1.0,1.0,1.0,1.0
9,1,0.7,33,3,20,10,1.0,1.0,1.0,1.0
9,1,0.85,40,4,24,12,0.9722222222222222,1.0,0.9787045252883763,1.0
9,1,1.0,48,5,29,14,0.9761904761904763,1.0,0.98200460347353,1.0
9,2,0.4,19,2,11,6,1.0,0.8333333333333334,1.0,0.7555555555555555
9,2,0.55,26,3,16,7,1.0,0.6666666666666666,1.0,0.6470588235294118
9,2,0.7,33,3,20,10,1.0,0.625,1.0,0.5773809523809524
9,2,0.85,40,4,24,12,1.0,0.9166666666666666,1.0,0.8690476190476191
9,2,1.0,48,5,29,14,0.9761904761904763,1.0,0.98200460347353,1.0
9,3,0.4,19,2,12,5,1.0,1.0,1.0,1.0
9,3,0.55,26,3,16,7,1.0,0.8333333333333334,1.0,0.8472222222222222
9,3,0.7,33,3,21,9,0.9629629629629629,0.6666666666666666,0.972640218878249,0.6444444444444445
9,3,0.85,40,4,25,11,0.9696969696969697,0.8333333333333334,0.9775910364145658,0.8472222222222222
9,3,1.0,48,5,30,13,0.9743589743589745,1.0,0.9812021857923497,1.0
9,4,0.4,19,2,12,5,1.0,0.8333333333333334,1.0,0.8472222222222222
9,4,0.55,26,3,16,7,1.0,0.9166666666666666,1.0,0.9301587301587301
9,4,0.7,33,3,21,9,1.0,0.9166666666666666,1.0,0.9301587301587301
9,4,0.85,40,4,25,11,1.0,0.9166666666666666,1.0,0.9301587301587301
9,4,1.0,48,5,30,13,1.0,0.9166666666666666,1.0,0.9301587301587301
