repeat,fold,weighted,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mcc,sensitivity_set
7,2,True,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076,imbalance_weighting
7,3,True,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631,imbalance_weighting
7,4,True,0.8333333333333334,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8777777777777778,0.7502344849205329,imbalance_weighting
8,0,True,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333,imbalance_weighting
8,1,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
8,2,True,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076,imbalance_weighting
8,3,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
8,4,True,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129,imbalance_weighting
9,0,True,0.9166666666666666,0.9523809523809524,0.9166666666666666,0.9523809523809524,0.9267399267399267,0.8711309772938205,imbalance_weighting
9,1,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
9,2,True,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076,imbalance_weighting
9,3,True,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
9,4,True,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,imbalance_weighting
