repeat,fold,weighted,inner_best_balanced_accuracy,best_params,sensitivity_set
4,1,False,0.8444444444444444,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}",combined_without_lifestyle
4,2,False,0.7987654320987655,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
4,3,False,0.7277777777777777,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
4,4,False,0.75,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
5,0,False,0.911111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
5,1,False,0.6018518518518517,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
5,2,False,0.8166666666666668,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
5,3,False,0.6555555555555554,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
5,4,False,0.7944444444444444,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
6,0,False,0.611111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
6,1,False,0.854320987654321,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
6,2,False,0.754320987654321,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}",combined_without_lifestyle
6,3,False,0.8166666666666668,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
6,4,False,0.7333333333333334,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
7,0,False,0.9444444444444445,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
7,1,False,0.6888888888888888,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
7,2,False,0.8197530864197531,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
7,3,False,0.7944444444444444,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
7,4,False,0.7944444444444444,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
